"Transformers, The a.k.a. Transformers: Generation 1 a.k.a. Transformers: G1 ",,
Transformers: Generation 2 a.k.a. Transformers: G2 ,,
Transformers: The Headmasters ,,
Transformers: Super-God Masterforce ,,
Transformers: Victory ,,
Beast Wars: Transformers ,,
Beast Wars II: Chō Seimeitai Transformers a.k.a. Beast Wars II: Super Life-form Transformers ,,
Beast Wars Neo ,,
Beast Machines ,,
Transformers: Robots in Disguise ,,
Transformers: Armada a.k.a. Super Robot Lifeform Transformers: Micron Legend ,,
Transformers: Energon a.k.a. Transformers: Superlink ,,
Transformers: Cybertron a.k.a. Transformers: Galaxy Force ,,
Transformers Animated ,,
Transformers: Prime a.k.a. Transformers: Prime – The Animated Series ,,
Transformers: Rescue Bots ,,
Transformers: Cyberverse ,,
"Tribe, The ",,
"New Tomorrow, The ",,
Tron: Uprising ,,
Ultraforce ,,
Ulysses 31 a.k.a. Space Legend Ulysses 31 ,,
Underdog ,,
Valley of the Dinosaurs ,,
Video Warrior Laserion ,,
Virus Attack ,,
Visionaries: Knights of the Magical Light ,,
Voltron ,,
Voltron a.k.a. Voltron: Defender of the Universe ,,
Voltron: Fleet of Doom ,,
Voltron: The Third Dimension ,,
Voltron Force ,,
Voltron: Legendary Defender ,,
Armored Fleet Dairugger XV a.k.a. Dairugger 15 a.k.a. Dairugger XV a.k.a. Armored Armada Dairugger XV a.k.a. Armored Squadron Dairugger XV a.k.a. Machine Platoon Dairugger ,,
Beast King GoLion a.k.a. GoLion a.k.a. King of the Beasts GoLion ,,
VR Troopers ,,
Wallace and Gromit ,,
A Grand Day Out a.k.a. A Grand Day Out with Wallace and Gromit ,,
Shaun the Sheep ,,
Web Woman ,,
Whatever Happened to Robot Jones? ,,
Wicked Science ,,
Wild Arms: Twilight Venom ,,
Wild C.A.T.s ,,
Wing Commander Academy ,,
Wizards vs Aliens ,,
Yogi Bear ,,
Yogi's Space Race ,,
Galaxy Goof-Ups ,,
X-Men ,,
X-Men: Pryde of the X-Men ,,
X-Men a.k.a. X-Men: The Animated Series ,,
X-Men: Evolution ,,
Wolverine and the X-Men ,,
Marvel Anime: Wolverine ,,
Marvel Anime: X-Men ,,
Xyber 9: New Dawn ,,
Yin Yang Yo! ,,
"Zack Files, The ",,
Zentrix ,,
Zegapain ,,
"Zeta Project, The ",,
Zevo-3 ,,
Zillion a.k.a. Red Photon Zillion ,,
Zixx ,,
